..\imagens_para_conversao\escada_branca: .word 16, 16
.byte 91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,


